"filename", "language", "JavaScript", "Docker", "Environment Variables", "JSON", "Markdown", "YAML", "comment", "blank", "total"
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/.templates.env", "Environment Variables", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/Dockerfile", "Docker", 0, 8, 0, 0, 0, 0, 2, 7, 17
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/app.js", "JavaScript", 48, 0, 0, 0, 0, 0, 21, 14, 83
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/config/attachment.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/config/database.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/config/sms.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 3, 16
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/admin/index.js", "JavaScript", 56, 0, 0, 0, 0, 0, 11, 15, 82
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/attachment/index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 12, 17, 97
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/auth/index.js", "JavaScript", 141, 0, 0, 0, 0, 0, 19, 30, 190
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/bookmark/index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 4, 9, 81
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/cart/index.js", "JavaScript", 120, 0, 0, 0, 0, 0, 8, 19, 147
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/category/index.js", "JavaScript", 112, 0, 0, 0, 0, 0, 18, 26, 156
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/customer/index.js", "JavaScript", 83, 0, 0, 0, 0, 0, 14, 23, 120
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/feed/index.js", "JavaScript", 74, 0, 0, 0, 0, 0, 12, 13, 99
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/order/index.js", "JavaScript", 563, 0, 0, 0, 0, 0, 48, 51, 662
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/product/index.js", "JavaScript", 286, 0, 0, 0, 0, 0, 30, 39, 355
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/product/variant.js", "JavaScript", 75, 0, 0, 0, 0, 0, 11, 17, 103
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/store/index.js", "JavaScript", 129, 0, 0, 0, 0, 0, 18, 26, 173
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/subcategory/index.js", "JavaScript", 145, 0, 0, 0, 0, 0, 24, 31, 200
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 14, 12, 1, 27
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/middleware/auth.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 11, 57
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/middleware/error.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 3, 23
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/middleware/query.js", "JavaScript", 12, 0, 0, 0, 0, 0, 11, 3, 26
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Address/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 30, 1, 31
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Admin/index.js", "JavaScript", 71, 0, 0, 0, 0, 0, 47, 8, 126
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Attachment/index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 18, 4, 44
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Bookmark/index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 17, 5, 42
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Cart/index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 20, 3, 46
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Category/index.js", "JavaScript", 69, 0, 0, 0, 0, 0, 28, 9, 106
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/FeedImage/index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 13, 4, 31
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Keyword/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 1, 13
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Order/index.js", "JavaScript", 75, 0, 0, 0, 0, 0, 44, 9, 128
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/OrderCache/index.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 3, 33
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/OrderLine/index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 3, 47
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/OrderTimeLine/index.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 3, 51
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Product/index.js", "JavaScript", 120, 0, 0, 0, 0, 0, 71, 9, 200
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Review/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 1, 26
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Store/index.js", "JavaScript", 67, 0, 0, 0, 0, 0, 50, 7, 124
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/StoreImage/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 1, 18
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Subcategory/index.js", "JavaScript", 56, 0, 0, 0, 0, 0, 27, 6, 89
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/User/index.js", "JavaScript", 116, 0, 0, 0, 0, 0, 70, 17, 203
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/model/Variant/index.js", "JavaScript", 46, 0, 0, 0, 0, 0, 23, 4, 73
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/package-lock.json", "JSON", 0, 0, 0, 3662, 0, 0, 0, 1, 3663
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 1, 42
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/readme.md", "Markdown", 0, 0, 0, 0, 72, 0, 0, 28, 100
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/admin.js", "JavaScript", 10, 0, 0, 0, 0, 0, 75, 5, 90
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/attachment.js", "JavaScript", 14, 0, 0, 0, 0, 0, 85, 6, 105
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/auth.js", "JavaScript", 21, 0, 0, 0, 0, 0, 188, 10, 219
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/bookmark.js", "JavaScript", 8, 0, 0, 0, 0, 0, 52, 5, 65
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/cart.js", "JavaScript", 14, 0, 0, 0, 0, 0, 95, 6, 115
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/category.js", "JavaScript", 21, 0, 0, 0, 0, 0, 196, 9, 226
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/customer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 115, 6, 136
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/feed.js", "JavaScript", 17, 0, 0, 0, 0, 0, 83, 6, 106
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/order.js", "JavaScript", 29, 0, 0, 0, 0, 0, 282, 14, 325
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/product.js", "JavaScript", 17, 0, 0, 0, 0, 0, 126, 7, 150
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/store.js", "JavaScript", 19, 0, 0, 0, 0, 0, 154, 9, 182
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/subcategory.js", "JavaScript", 19, 0, 0, 0, 0, 0, 165, 8, 192
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/routes/variant.js", "JavaScript", 12, 0, 0, 0, 0, 0, 84, 5, 101
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/utils/errorResponse.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/utils/searchRegex.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 3128, 8, 6, 3703, 72, 14, 2496, 590, 10017